Controller,Period,Interval,Minutes_outside,Mean_distance_to_optimal_temperature,Total_daily_distance_to_setpoints,Mean_distance_to_setpoints
UPPAAL M-Learning,march,4,298.6749233208382,0.46295920906278315,5.966254366133894,0.04005165337480624
Bang-Bang,march,12,1267,0.5365363771616389,77.47388621738979,0.32900253814664104
UPPAAL Q-Learning,march,12,471.56654429371855,0.5469168180392399,46.62796904535419,0.10939129379643724
UPPAAL M-Learning,march,12,571.2946652755899,0.5876919559893434,49.89041085364259,0.12104400449111626
Bang-Bang,march,24,1317,0.5410989512402319,81.41226250784737,0.3373331258146197
UPPAAL Q-Learning,march,24,691.864128144582,0.4755729740812113,104.27416789464561,0.14328951685139593
UPPAAL M-Learning,march,24,712.3496276706906,0.5043846463183823,106.47719428840246,0.15528209123471942
Bang-Bang,april,1,1331,0.9626489263963741,89.72858537946429,0.5132434752308032
UPPAAL Q-Learning,april,1,502.2498701545965,0.7309203514316419,126.61534134785198,0.16689647348267847
UPPAAL M-Learning,april,1,500.5394019500633,0.7948189866088625,126.81547702868565,0.16708309574804064
Bang-Bang,april,4,1324,0.9619828400383958,88.06116839817592,0.352398056889716
UPPAAL Q-Learning,april,4,499.70380278312746,0.7031563083246601,71.38664159226616,0.17909422511825687
UPPAAL M-Learning,april,4,498.5144904738911,0.7376077408248639,71.81920134594537,0.1792149353588218
Bang-Bang,april,12,1363,0.9570740256791048,89.2704609462193,0.23063030647434843
UPPAAL Q-Learning,april,12,1242.363660610817,0.7769594878095394,126.21793219631068,0.17894544718431435
UPPAAL M-Learning,april,12,1227.4732727730889,0.7884694189586862,122.86608339251505,0.17687088904625695
Bang-Bang,april,24,1362,0.9544207159833643,91.71886008126395,0.22565762410206736
UPPAAL Q-Learning,april,24,1650.9999937932348,0.7546488192688922,220.9840047480672,0.19249064940123528
UPPAAL M-Learning,april,24,1633.9999939999998,0.7418843802075133,216.02296722462088,0.19044778876107987
