,time,solar_effect,room_temp,ambient_temp,heating_setpoint,cooling_setpoint,occupancy_effect
55,2025-03-11 00:55:00+00:00,7.538159179530001,26.366666666666667,3.7,20.5,24.5,0.0
56,2025-03-11 00:56:00+00:00,7.538159179530001,26.366666666666667,3.7,20.5,24.5,0.0
57,2025-03-11 00:57:00+00:00,7.538159179530001,26.36,3.7,20.5,24.5,0.0
58,2025-03-11 00:58:00+00:00,7.538159179530001,26.35333333333333,3.7,20.5,24.5,0.0
59,2025-03-11 00:59:00+00:00,7.538159179530001,26.346666666666668,3.7,20.5,24.5,0.0
60,2025-03-11 01:00:00+00:00,7.538159179530001,26.34666666666667,3.7,20.5,24.5,0.0
61,2025-03-11 01:01:00+00:00,7.538159179530001,26.34,3.7,20.5,24.5,0.0
62,2025-03-11 01:02:00+00:00,7.538159179530001,26.326666666666664,3.7,20.5,24.5,0.0
63,2025-03-11 01:03:00+00:00,7.538159179530001,26.32,3.7,20.5,24.5,0.0
64,2025-03-11 01:04:00+00:00,7.538159179530001,26.313333333333336,3.7,20.5,24.5,0.0
65,2025-03-11 01:05:00+00:00,7.538159179530001,26.32,3.7,20.5,24.5,0.0
66,2025-03-11 01:06:00+00:00,7.538159179530001,26.30666666666667,3.7,20.5,24.5,0.0
67,2025-03-11 01:07:00+00:00,7.538159179530001,26.30666666666667,3.7,20.5,24.5,0.0
68,2025-03-11 01:08:00+00:00,7.538159179530001,26.306666666666665,3.7,20.5,24.5,0.0
69,2025-03-11 01:09:00+00:00,7.538159179530001,26.3,3.7,20.5,24.5,0.0
70,2025-03-11 01:10:00+00:00,7.538159179530001,26.30666666666667,3.7,20.5,24.5,0.0
71,2025-03-11 01:11:00+00:00,7.538159179530001,26.306666666666665,3.7,20.5,24.5,0.0
72,2025-03-11 01:12:00+00:00,7.538159179530001,26.32,3.7,20.5,24.5,0.0
73,2025-03-11 01:13:00+00:00,7.538159179530001,26.326666666666664,3.7,20.5,24.5,0.0
74,2025-03-11 01:14:00+00:00,7.538159179530001,26.33333333333333,3.7,20.5,24.5,0.0
75,2025-03-11 01:15:00+00:00,7.538159179530001,26.33333333333333,3.7,20.5,24.5,0.0
76,2025-03-11 01:16:00+00:00,7.538159179530001,26.346666666666668,3.7,20.5,24.5,0.0
77,2025-03-11 01:17:00+00:00,7.538159179530001,26.35333333333333,3.7,20.5,24.5,0.0
78,2025-03-11 01:18:00+00:00,7.538159179530001,26.346666666666668,3.7,20.5,24.5,0.0
79,2025-03-11 01:19:00+00:00,7.538159179530001,26.35333333333333,3.7,20.5,24.5,0.0
80,2025-03-11 01:20:00+00:00,7.538159179530001,26.35333333333333,3.7,20.5,24.5,0.0
81,2025-03-11 01:21:00+00:00,7.538159179530001,26.366666666666667,3.7,20.5,24.5,0.0
82,2025-03-11 01:22:00+00:00,7.538159179530001,26.366666666666667,3.7,20.5,24.5,0.0
83,2025-03-11 01:23:00+00:00,7.538159179530001,26.35333333333333,3.7,20.5,24.5,0.0
84,2025-03-11 01:24:00+00:00,7.538159179530001,26.34,3.7,20.5,24.5,0.0
85,2025-03-11 01:25:00+00:00,7.538159179530001,26.33333333333333,3.7,20.5,24.5,0.0
86,2025-03-11 01:26:00+00:00,7.538159179530001,26.326666666666668,3.7,20.5,24.5,0.0
87,2025-03-11 01:27:00+00:00,7.538159179530001,26.313333333333333,3.7,20.5,24.5,0.0
88,2025-03-11 01:28:00+00:00,7.538159179530001,26.30666666666667,3.7,20.5,24.5,0.0
89,2025-03-11 01:29:00+00:00,7.538159179530001,26.3,3.7,20.5,24.5,0.0
90,2025-03-11 01:30:00+00:00,7.538159179530001,26.3,3.6,20.5,24.5,0.0
91,2025-03-11 01:31:00+00:00,7.538159179530001,26.286666666666665,3.6,20.5,24.5,0.0
92,2025-03-11 01:32:00+00:00,7.538159179530001,26.280000000000005,3.6,20.5,24.5,0.0
93,2025-03-11 01:33:00+00:00,7.538159179530001,26.286666666666665,3.6,20.5,24.5,0.0
94,2025-03-11 01:34:00+00:00,7.538159179530001,26.273333333333333,3.6,20.5,24.5,0.0
95,2025-03-11 01:35:00+00:00,7.538159179530001,26.266666666666666,3.6,20.5,24.5,0.0
96,2025-03-11 01:36:00+00:00,7.538159179530001,26.26,3.6,20.5,24.5,0.0
97,2025-03-11 01:37:00+00:00,7.538159179530001,26.246666666666663,3.6,20.5,24.5,0.0
98,2025-03-11 01:38:00+00:00,7.538159179530001,26.25333333333333,3.6,20.5,24.5,0.0
99,2025-03-11 01:39:00+00:00,7.538159179530001,26.25333333333333,3.6,20.5,24.5,0.0
100,2025-03-11 01:40:00+00:00,7.538159179530001,26.246666666666663,3.6,20.5,24.5,0.0
101,2025-03-11 01:41:00+00:00,7.538159179530001,26.24,3.6,20.5,24.5,0.0
102,2025-03-11 01:42:00+00:00,7.538159179530001,26.246666666666663,3.6,20.5,24.5,0.0
103,2025-03-11 01:43:00+00:00,7.538159179530001,26.24,3.6,20.5,24.5,0.0
104,2025-03-11 01:44:00+00:00,7.538159179530001,26.23333333333333,3.6,20.5,24.5,0.0
105,2025-03-11 01:46:00+00:00,7.538159179530001,26.22666666666667,3.6,20.5,24.5,0.0
106,2025-03-11 01:47:00+00:00,7.538159179530001,26.22666666666667,3.6,20.5,24.5,0.0
107,2025-03-11 01:48:00+00:00,7.538159179530001,26.226666666666667,3.6,20.5,24.5,0.0
108,2025-03-11 01:49:00+00:00,7.538159179530001,26.22666666666667,3.6,20.5,24.5,0.0
109,2025-03-11 01:50:00+00:00,7.538159179530001,26.23333333333333,3.6,20.5,24.5,0.0
110,2025-03-11 01:51:00+00:00,7.538159179530001,26.23333333333333,3.6,20.5,24.5,0.0
111,2025-03-11 01:52:00+00:00,7.538159179530001,26.23333333333333,3.6,20.5,24.5,0.0
112,2025-03-11 01:53:00+00:00,7.538159179530001,26.24,3.6,20.5,24.5,0.0
113,2025-03-11 01:54:00+00:00,7.538159179530001,26.24,3.6,20.5,24.5,0.0
114,2025-03-11 01:55:00+00:00,7.538159179530001,26.246666666666663,3.6,20.5,24.5,0.0
115,2025-03-11 01:56:00+00:00,7.538159179530001,26.25333333333333,3.6,20.5,24.5,0.0
116,2025-03-11 01:57:00+00:00,7.538159179530001,26.26,3.6,20.5,24.5,0.0
