time,solar_watt,room_temp,ambient_temp,heating_setpoint,cooling_setpoint
2024-11-25 20:14:00+00:00,3.9102783203,22.1,8.9,22.0,26.0
2024-11-25 20:29:00+00:00,3.9102783203,22.2,8.9,22.0,26.0
2024-11-25 20:44:00+00:00,3.9102783203,22.0,8.5,22.0,26.0
2024-11-25 20:59:00+00:00,3.9102783203,22.0,8.5,22.0,26.0
2024-11-25 21:14:00+00:00,3.9102783203,22.0,8.5,22.0,26.0
2024-11-25 21:29:00+00:00,3.9102783203,22.1,8.5,22.0,26.0
2024-11-25 21:45:00+00:00,3.9102783203,22.3,8.0,22.0,26.0
2024-11-25 22:00:00+00:00,3.9102783203,22.2,8.0,22.0,26.0
2024-11-25 22:15:00+00:00,3.9102783203,22.0,8.0,22.0,26.0
2024-11-25 22:30:00+00:00,3.9102783203,22.1,7.8,22.0,26.0
2024-11-25 22:45:00+00:00,3.9102783203,22.0,7.8,22.0,26.0
2024-11-25 23:00:00+00:00,3.9102783203,22.0,7.8,22.0,26.0
2024-11-25 23:15:00+00:00,3.9102783203,22.0,7.8,22.0,26.0
2024-11-25 23:30:00+00:00,3.9102783203,21.9,7.9,22.0,26.0
2024-11-25 23:45:00+00:00,3.9102783203,22.1,7.9,22.0,26.0
