,time,solar_watt,room_temp,ambient_temp,heating_setpoint,cooling_setpoint,lux
53,2024-12-28 13:33:00+00:00,10.3454589844,22.073333333333334,5.6,22.0,26.0,15.4762802124
54,2024-12-28 13:48:00+00:00,6.2642822266,22.066666666666666,5.6,22.0,26.0,10.6885623932
55,2024-12-28 14:03:00+00:00,6.2642822266,22.08,5.6,22.0,26.0,9.3230237961
56,2024-12-28 14:18:00+00:00,4.2584228516,22.07333333333333,5.6,22.0,26.0,7.7625465393
57,2024-12-28 14:33:00+00:00,4.2584228516,22.053333333333335,5.6,22.0,26.0,5.7772550583
58,2024-12-28 14:48:00+00:00,4.2584228516,22.033333333333335,5.6,22.0,26.0,5.0349683762
59,2024-12-28 15:04:00+00:00,4.2584228516,22.033333333333335,5.6,22.0,26.0,4.141002655
60,2024-12-28 15:19:00+00:00,4.2584228516,22.033333333333335,5.6,22.0,26.0,4.0138225555
61,2024-12-28 15:34:00+00:00,4.2584228516,22.040000000000003,5.5,22.0,26.0,4.0670599937
62,2024-12-28 15:50:00+00:00,4.2584228516,22.033333333333335,5.5,22.0,26.0,4.056801796
63,2024-12-28 16:05:00+00:00,4.2584228516,22.026666666666664,5.5,22.0,26.0,4.0566959381
64,2024-12-28 16:20:00+00:00,4.2584228516,22.02,5.5,22.0,26.0,4.0985336304
65,2024-12-28 16:37:00+00:00,4.2584228516,22.033333333333335,5.3,22.0,26.0,3.948325634
66,2024-12-28 16:52:00+00:00,4.2584228516,22.053333333333335,5.3,22.0,26.0,4.0570011139
67,2024-12-28 17:07:00+00:00,4.2584228516,22.073333333333334,5.3,22.0,26.0,4.0954594612
68,2024-12-28 17:22:00+00:00,4.2584228516,22.05333333333333,5.3,22.0,26.0,4.110449791
69,2024-12-28 17:37:00+00:00,4.2584228516,22.033333333333335,5.4,22.0,26.0,4.0667395592
70,2024-12-28 17:52:00+00:00,4.2584228516,22.026666666666667,5.4,22.0,26.0,3.9442052841
71,2024-12-28 18:07:00+00:00,4.2584228516,22.040000000000003,5.4,22.0,26.0,4.036257267
72,2024-12-28 18:22:00+00:00,4.2584228516,22.060000000000002,5.4,22.0,26.0,4.0362501144
73,2024-12-28 18:37:00+00:00,4.2584228516,22.060000000000002,5.6,22.0,26.0,4.0294837952
74,2024-12-28 18:52:00+00:00,4.2584228516,22.053333333333335,5.6,22.0,26.0,4.0456213951
75,2024-12-28 19:08:00+00:00,4.2584228516,22.04666666666667,5.6,22.0,26.0,4.0596175194
