,time,solar_watt,room_temp,ambient_temp,heating_setpoint,cooling_setpoint,lux,wind,heater_valve,ventilation_supply_damper
42,2025-02-25 00:42:00+00:00,4.1783447266,21.4,6.1,21.0,25.0,4.1081929207,3.6406154633,0.0,0.0
43,2025-02-25 00:43:00+00:00,4.1783447266,21.2,6.1,21.0,25.0,4.054956913,3.6406154633,0.0,0.0
44,2025-02-25 00:44:00+00:00,4.1783447266,21.4,6.1,21.0,25.0,4.0205936432,3.6406154633,0.0,0.0
45,2025-02-25 00:45:00+00:00,4.1783447266,21.4,6.1,21.0,25.0,4.0527253151,3.6406154633,0.0,0.0
46,2025-02-25 00:46:00+00:00,4.1783447266,21.1,6.1,21.0,25.0,4.0379753113,3.6406154633,0.0,0.0
47,2025-02-25 00:47:00+00:00,4.1783447266,21.2,6.1,21.0,25.0,4.1130051613,3.6406154633,0.0,0.0
48,2025-02-25 00:48:00+00:00,4.1783447266,21.2,6.1,21.0,25.0,4.0931410789000005,3.6406154633,0.0,0.0
49,2025-02-25 00:49:00+00:00,4.1783447266,21.2,6.1,21.0,25.0,4.0606603622,3.6406154633,0.0,0.0
50,2025-02-25 00:50:00+00:00,4.1783447266,21.1,6.1,21.0,25.0,4.0265002251,3.6406154633,0.0,0.0
51,2025-02-25 00:51:00+00:00,4.1783447266,21.1,6.1,21.0,25.0,4.0416431427,3.6406154633,0.0,0.0
52,2025-02-25 00:52:00+00:00,4.1783447266,21.2,6.1,21.0,25.0,4.0818543434,3.6406154633,0.0,0.0
53,2025-02-25 00:53:00+00:00,4.1783447266,21.2,6.1,21.0,25.0,4.0592837334,3.6406154633,0.0,0.0
54,2025-02-25 00:54:00+00:00,4.1783447266,21.2,6.1,21.0,25.0,4.0509691238,3.6406154633,0.0,0.0
55,2025-02-25 00:55:00+00:00,4.1783447266,21.3,6.1,21.0,25.0,4.0383448601,3.6406154633,0.0,0.0
56,2025-02-25 00:56:00+00:00,4.1783447266,21.0,6.1,21.0,25.0,4.0690145493,3.6406154633,0.0,0.0
57,2025-02-25 00:57:00+00:00,4.1783447266,21.2,6.1,21.0,25.0,4.0979652405,3.6406154633,0.0,0.0
58,2025-02-25 00:58:00+00:00,4.1783447266,21.2,6.1,21.0,25.0,4.0740451813,3.6406154633,0.0,0.0
59,2025-02-25 00:59:00+00:00,4.1783447266,21.2,6.1,21.0,25.0,4.0480895042,3.6406154633,0.0,0.0
60,2025-02-25 01:00:00+00:00,4.1783447266,21.2,6.1,21.0,25.0,4.0353889465,3.6406154633,0.0,0.0
61,2025-02-25 01:01:00+00:00,4.1783447266,21.1,6.1,21.0,25.0,4.0532169342,3.6406154633,0.0,0.0
62,2025-02-25 01:02:00+00:00,4.1783447266,20.5,6.1,21.0,25.0,4.0652751923,3.6406154633,0.0,0.0
63,2025-02-25 01:03:00+00:00,4.1783447266,21.0,6.1,21.0,25.0,4.1084551811,3.6406154633,0.0,0.0
64,2025-02-25 01:04:00+00:00,4.1783447266,21.1,6.1,21.0,25.0,4.0666837692,3.6406154633,0.0,0.0
65,2025-02-25 01:05:00+00:00,4.1783447266,21.2,6.1,21.0,25.0,4.0424637794,3.6406154633,0.0,0.0
66,2025-02-25 01:06:00+00:00,4.1783447266,21.1,6.1,21.0,25.0,4.0292429924,3.6406154633,0.0,0.0
67,2025-02-25 01:07:00+00:00,4.1783447266,21.2,6.1,21.0,25.0,4.0784134865,3.6406154633,0.0,0.0
68,2025-02-25 01:08:00+00:00,4.1783447266,21.1,6.1,21.0,25.0,4.0688009262,3.6406154633,0.0,0.0
69,2025-02-25 01:09:00+00:00,4.1783447266,21.2,6.1,21.0,25.0,4.0450844765,3.6406154633,0.0,0.0
70,2025-02-25 01:10:00+00:00,4.1783447266,21.2,6.1,21.0,25.0,4.0444359779,3.6406154633,0.0,0.0
71,2025-02-25 01:11:00+00:00,4.1783447266,21.1,6.1,21.0,25.0,4.0341286659,3.6406154633,0.0,0.0
72,2025-02-25 01:12:00+00:00,4.1783447266,21.1,6.1,21.0,25.0,4.0347995758,3.6406154633,0.0,0.0
73,2025-02-25 01:13:00+00:00,4.1783447266,21.1,6.1,21.0,25.0,4.0528621674,3.6406154633,0.0,0.0
74,2025-02-25 01:14:00+00:00,4.1783447266,21.1,6.1,21.0,25.0,4.0529465675,3.6406154633,0.0,0.0
75,2025-02-25 01:15:00+00:00,4.1783447266,21.1,6.1,21.0,25.0,4.0200476646,3.6406154633,0.0,0.0
76,2025-02-25 01:16:00+00:00,4.1783447266,21.1,6.1,21.0,25.0,4.0325536728,3.6406154633,0.0,0.0
77,2025-02-25 01:17:00+00:00,4.1783447266,21.0,6.1,21.0,25.0,4.0210590363,3.6406154633,0.0,0.0
78,2025-02-25 01:18:00+00:00,4.1783447266,21.0,6.1,21.0,25.0,4.0591907501,3.6406154633,0.0,0.0
79,2025-02-25 01:19:00+00:00,4.1783447266,21.2,6.1,21.0,25.0,4.0698738098,3.6406154633,0.0,0.0
80,2025-02-25 01:20:00+00:00,4.1783447266,21.0,6.1,21.0,25.0,4.045144558,3.6406154633,0.0,0.0
81,2025-02-25 01:21:00+00:00,4.1783447266,21.2,6.1,21.0,25.0,4.0302634239,3.6406154633,0.0,0.0
82,2025-02-25 01:22:00+00:00,4.1783447266,21.2,6.1,21.0,25.0,4.0470929146,3.6406154633,0.0,0.0
83,2025-02-25 01:23:00+00:00,4.1783447266,21.2,6.1,21.0,25.0,4.0642547607,3.6406154633,0.0,0.0
84,2025-02-25 01:24:00+00:00,4.1783447266,21.2,6.1,21.0,25.0,4.0554919243,3.6406154633,0.0,0.0
85,2025-02-25 01:25:00+00:00,4.1783447266,21.1,6.1,21.0,25.0,4.0287704468,3.6406154633,0.0,0.0
86,2025-02-25 01:26:00+00:00,4.1783447266,21.2,6.1,21.0,25.0,4.0095477104,3.6406154633,0.0,0.0
87,2025-02-25 01:27:00+00:00,4.1783447266,21.2,6.1,21.0,25.0,4.0411748886,3.6406154633,0.0,0.0
88,2025-02-25 01:28:00+00:00,4.1783447266,21.2,6.1,21.0,25.0,4.0800132751,3.6406154633,0.0,0.0
89,2025-02-25 01:29:00+00:00,4.1783447266,21.1,6.1,21.0,25.0,4.0815343857,3.6406154633,0.0,0.0
90,2025-02-25 01:30:00+00:00,4.1783447266,21.1,6.1,21.0,25.0,4.067908287,3.6406154633,0.0,0.0
91,2025-02-25 01:31:00+00:00,4.1783447266,21.2,6.1,21.0,25.0,4.0478844643,3.6406154633,0.0,0.0
92,2025-02-25 01:32:00+00:00,4.1783447266,21.2,6.1,21.0,25.0,4.0407395363,3.6406154633,0.0,0.0
93,2025-02-25 01:33:00+00:00,4.1783447266,21.1,6.1,21.0,25.0,4.0965561867,3.6406154633,0.0,0.0
94,2025-02-25 01:34:00+00:00,4.1783447266,21.2,6.1,21.0,25.0,4.138276577,3.6406154633,0.0,0.0
95,2025-02-25 01:35:00+00:00,4.1783447266,21.2,6.1,21.0,25.0,4.1182332039,3.6406154633,0.0,0.0
96,2025-02-25 01:36:00+00:00,4.1783447266,21.2,6.1,21.0,25.0,4.0667676926,3.6406154633,0.0,0.0
97,2025-02-25 01:37:00+00:00,4.1783447266,21.2,6.1,21.0,25.0,4.0461330414,3.6406154633,0.0,0.0
98,2025-02-25 01:38:00+00:00,4.1783447266,21.2,6.1,21.0,25.0,4.033821106,3.6406154633,0.0,0.0
99,2025-02-25 01:39:00+00:00,4.1783447266,21.1,6.1,21.0,25.0,4.0821666718,3.6406154633,0.0,0.0
100,2025-02-25 01:40:00+00:00,4.1783447266,21.2,6.1,21.0,25.0,4.0890111923,3.6406154633,0.0,0.0
101,2025-02-25 01:41:00+00:00,4.1783447266,21.2,6.1,21.0,25.0,4.0581927299,3.6406154633,0.0,0.0
102,2025-02-25 01:42:00+00:00,4.1783447266,21.2,6.1,21.0,25.0,4.0426325798,3.6406154633,0.0,0.0
103,2025-02-25 01:43:00+00:00,4.1783447266,21.2,6.1,21.0,25.0,4.0582885742,3.6406154633,0.0,0.0
104,2025-02-25 01:44:00+00:00,4.1783447266,21.2,6.1,21.0,25.0,4.1460003853,3.6406154633,0.0,0.0
105,2025-02-25 01:45:00+00:00,4.1783447266,21.1,6.1,21.0,25.0,4.0985388756,3.6406154633,0.0,0.0
